reference,querry,ani,alignment_coverage,primary_cluster
coasm_bin.377.fa,CAN_3_bin.81.fa,0.9906999999999999,82.88,172
coasm_bin.377.fa,CAN_4_bin.51.fa,0.9438,64.31,172
coasm_bin.377.fa,CAN_5_bin.25.fa,0.9869,76.93,172
coasm_bin.377.fa,CAN_5_bin.58.fa,0.9436,44.93,172
coasm_bin.377.fa,coasm_bin.277.fa,0.9444,66.02,172
coasm_bin.377.fa,coasm_bin.292.fa,0.9034,56.05,172
coasm_bin.377.fa,coasm_bin.377.fa,1.0,100.0,172
CAN_1_bin.148.fa,CAN_1_bin.210.fa,0.9072,59.14,172
CAN_1_bin.148.fa,CAN_2_bin.43.fa,0.9107,63.21,172
CAN_1_bin.210.fa,CAN_2_bin.43.fa,0.9945,94.65,172
CAN_1_bin.148.fa,CAN_3_bin.81.fa,0.9083,58.26,172
CAN_1_bin.210.fa,CAN_3_bin.81.fa,0.9932,92.75,172
CAN_2_bin.43.fa,CAN_3_bin.81.fa,0.9959,84.99,172
